iter	Passed	Remaining
0	98	240625
1	189	231494
2	277	226816
3	371	227281
4	464	227299
5	556	226740
6	647	226126
7	737	225128
8	832	225844
9	923	225400
10	1014	224957
11	1104	224517
12	1194	223957
13	1283	223361
14	1377	223744
15	1471	223984
16	1561	223591
17	1651	223274
18	1740	222745
19	1827	222135
20	1921	222335
21	2014	222440
22	2107	222446
23	2197	222178
24	2285	221801
25	2378	221838
26	2468	221631
27	2558	221442
28	2646	221058
29	2734	220695
30	2825	220533
31	2914	220318
32	3001	219912
33	3089	219624
34	3179	219477
35	3270	219365
36	3359	219216
37	3451	219143
38	3540	218946
39	3630	218828
40	3723	218879
41	3812	218677
42	3902	218517
43	3989	218249
44	4079	218102
45	4172	218170
46	4262	218005
47	4354	217974
48	4445	217932
49	4540	218020
50	4635	218154
51	4728	218162
52	4819	218043
53	4912	218052
54	5005	218047
55	5096	217978
56	5188	217915
57	5281	217896
58	5372	217832
59	5464	217775
60	5555	217665
61	5645	217548
62	5737	217490
63	5826	217324
64	5917	217230
65	6009	217160
66	6099	217045
67	6190	216946
68	6283	216924
69	6373	216796
70	6466	216778
71	6560	216776
72	6650	216628
73	6733	216277
74	6826	216262
75	6921	216294
76	7011	216173
77	7102	216093
78	7184	215714
79	7265	215342
80	7359	215323
81	7451	215271
82	7533	214935
83	7630	215018
84	7721	214922
85	7821	215104
86	7919	215196
87	8018	215312
88	8110	215234
89	8202	215169
90	8291	215043
91	8379	214860
92	8467	214699
93	8559	214628
94	8650	214521
95	8743	214486
96	8831	214334
97	8923	214252
98	9015	214182
99	9110	214189
100	9209	214269
101	9305	214298
102	9400	214303
103	9495	214292
104	9591	214294
105	9687	214312
106	9770	214031
107	9865	214017
108	9962	214065
109	10057	214032
110	10146	213904
111	10242	213901
112	10338	213904
113	10441	214048
114	10538	214075
115	10641	214208
116	10737	214207
117	10837	214263
118	10923	214056
119	11020	214068
120	11118	214101
121	11214	214079
122	11307	214019
123	11402	213973
124	11501	214011
125	11595	213961
126	11691	213950
127	11784	213878
128	11883	213904
129	11976	213831
130	12073	213812
131	12169	213789
132	12267	213798
133	12363	213770
134	12455	213684
135	12555	213722
136	12651	213686
137	12744	213601
138	12840	213580
139	12937	213556
140	13036	213574
141	13137	213630
142	13246	213804
143	13344	213787
144	13443	213796
145	13540	213779
146	13638	213763
147	13737	213759
148	13835	213751
149	13939	213825
150	14037	213814
151	14133	213763
152	14230	213730
153	14325	213673
154	14422	213643
155	14526	213704
156	14622	213658
157	14719	213616
158	14815	213573
159	14913	213537
160	15013	213543
161	15109	213489
162	15211	213515
163	15308	213476
164	15404	213429
165	15515	213578
166	15614	213551
167	15709	213481
168	15803	213389
169	15905	213415
170	16003	213381
171	16099	213317
172	16198	213293
173	16293	213221
174	16392	213191
175	16490	213161
176	16590	213139
177	16691	213147
178	16786	213070
179	16878	212951
180	16977	212916
181	17071	212835
182	17175	212865
183	17272	212811
184	17367	212731
185	17464	212677
186	17565	212664
187	17660	212581
188	17759	212555
189	17856	212497
190	17952	212426
191	18048	212354
192	18144	212282
193	18239	212193
194	18334	212120
195	18431	212057
196	18524	211949
197	18620	211880
198	18716	211805
199	18809	211705
200	18910	211688
201	19007	211618
202	19102	211539
203	19198	211464
204	19291	211362
205	19390	211323
206	19489	211276
207	19586	211212
208	19692	211244
209	19789	211179
210	19888	211140
211	19985	211077
212	20082	211003
213	20183	210986
214	20281	210931
215	20380	210880
216	20474	210782
217	20558	210586
218	20656	210523
219	20752	210444
220	20837	210258
221	20931	210162
222	21024	210057
223	21118	209959
224	21214	209879
225	21315	209858
226	21413	209792
227	21512	209744
228	21607	209655
229	21703	209583
230	21800	209515
231	21893	209399
232	21990	209331
233	22080	209198
234	22173	209095
235	22273	209053
236	22376	209034
237	22468	208921
238	22567	208869
239	22666	208819
240	22766	208771
241	22863	208703
242	22966	208681
243	23052	208512
244	23148	208434
245	23245	208354
246	23339	208260
247	23434	208174
248	23528	208072
249	23622	207973
250	23722	207925
251	23814	207808
252	23909	207715
253	24005	207639
254	24102	207561
255	24200	207500
256	24304	207488
257	24404	207437
258	24498	207341
259	24594	207255
260	24681	207097
261	24779	207032
262	24878	206972
263	24973	206882
264	25070	206805
265	25162	206691
266	25256	206593
267	25352	206512
268	25450	206439
269	25547	206366
270	25651	206348
271	25748	206274
272	25844	206189
273	25942	206119
274	26026	205937
275	26120	205841
276	26209	205699
277	26307	205636
278	26403	205549
279	26502	205485
280	26607	205474
281	26710	205446
282	26822	205479
283	26933	205506
284	27039	205498
285	27148	205508
286	27254	205499
287	27361	205493
288	27466	205473
289	27575	205483
290	27682	205478
291	27788	205460
292	27889	205407
293	28000	205429
294	28110	205447
295	28217	205431
296	28322	205410
297	28427	205383
298	28534	205375
299	28646	205396
300	28748	205347
301	28854	205322
302	28962	205315
303	29066	205278
304	29174	205273
305	29270	205179
306	29375	205149
307	29488	205177
308	29590	205120
309	29695	205087
310	29792	205001
311	29903	205008
312	29993	204878
313	30103	204875
314	30218	204912
315	30326	204895
316	30432	204864
317	30536	204822
318	30639	204774
319	30743	204734
320	30854	204733
321	30952	204654
322	31061	204640
323	31165	204596
324	31273	204579
325	31382	204562
326	31488	204532
327	31593	204489
328	31699	204456
329	31795	204355
330	31907	204359
331	32014	204331
332	32111	204242
